Governance Units,Provinces,Districts,Name of Government Unit,Hospital,Primary Health Care Centers ,Health Post,Urban Health Centers,Community Health Unit,Other Health Facilities,Total ,Non-public health facilities ,Total health facilities (Public and Non-Public) 
District,Province 1,Taplejung,TAPLEJUNG,1,2,50,2,11,0,66,5,71
District,Province 1,Sankhuwasabha,SANKHUWASABHA,1,2,36,8,8,0,55,8,63
District,Province 1,Solukhumbu,SOLUKHUMBU,1,2,32,0,2,1,38,3,41
District,Province 1,Okhaldhunga,OKHALDHUNGA,1,1,54,0,0,0,56,3,59
District,Province 1,Khotang,KHOTANG,1,2,73,4,3,0,83,2,85
District,Province 1,Bhojpur,BHOJPUR,1,3,60,2,2,1,69,5,74
District,Province 1,Dhankuta,DHANKUTA,1,2,35,3,6,1,48,9,57
District,Province 1,Terhathum,TERHATHUM,1,2,29,1,0,0,33,1,34
District,Province 1,Panchthar,PANCHTHAR,1,2,40,1,9,0,53,4,57
District,Province 1,Ilam,ILAM,1,4,44,2,4,1,56,3,59
District,Province 1,Jhapa,JHAPA,1,6,44,7,2,1,61,32,93
District,Province 1,Morang,MORANG,3,6,60,8,0,3,80,37,117
District,Province 1,Sunsari,SUNSARI,2,5,47,8,2,1,65,18,83
District,Province 1,Udayapur,UDAYAPUR,2,1,44,6,0,0,53,6,59
District,Province 2,Saptari,SAPTARI,2,4,111,1,0,1,119,7,126
District,Province 2,Siraha,SIRAHA,2,4,104,2,0,1,113,59,172
District,Province 2,Dhunasa,DHANUSA,1,5,98,1,1,1,107,17,124
District,Province 2,Mohattari,MAHOTTARI,2,3,72,4,3,2,86,13,99
District,Province 2,Sarlahi,SARLAHI,1,5,94,0,0,1,101,9,110
District,Province 2,Rautahat,RAUTAHAT,2,3,93,0,0,0,98,8,106
District,Province 2,Bara,BARA,1,5,94,5,3,1,109,22,131
District,Province 2,Parsa,PARSA,2,3,79,4,0,1,89,34,123
District,Province 3,Dolakha,DOLAKHA,1,2,52,8,12,0,75,10,85
District,Province 3,Sindhupalchok,SINDHUPALCHOK,1,3,75,4,14,1,98,10,108
District,Province 3,Rasuwa,RASUWA,1,1,17,0,7,1,27,2,29
District,Province 3,Dhading,DHADING,1,2,49,1,15,1,69,16,85
District,Province 3,Nuwakot,NUWAKOT,1,3,63,4,7,1,79,12,91
District,Province 3,Kathmandu,KATHMANDU,14,8,58,37,0,6,123,948,1071
District,Province 3,Bhaktapur,BHAKTAPUR,3,2,19,4,2,3,33,54,87
District,Province 3,Lalitpur,LALITPUR,3,4,38,7,1,1,54,186,240
District,Province 3,Kavrepalanchok,KAVREPALANCHOK,1,4,89,7,7,1,109,36,145
District,Province 3,Ramechhap,RAMECHHAP,1,3,52,12,13,0,81,5,86
District,Province 3,Sindhuli,SINDHULI,1,4,51,5,3,1,65,21,86
District,Province 3,Makwanpur,MAKWANPUR,1,4,41,6,5,1,58,15,73
District,Province 3,Chitwan,CHITAWAN,4,3,36,15,4,1,63,71,134
District,Gandaki Province,Gorkha,GORKHA,1,3,66,3,1,6,80,10,90
District,Gandaki Province,Manang,MANANG,1,0,13,0,2,0,16,2,18
District,Gandaki Province,Mustang,MUSTANG,1,1,15,0,0,0,17,0,17
District,Gandaki Province,Myagdi,MYAGDI,1,1,39,0,10,1,52,1,53
District,Gandaki Province,Kaski,KASKI,2,4,45,18,0,3,72,21,93
District,Gandaki Province,Lamjung,LAMJUNG,2,2,58,8,11,0,81,17,98
District,Gandaki Province,Tanahu,TANAHU,3,2,46,8,10,0,69,25,94
District,Gandaki Province,Nawalparasi East,NAWALPARASI EAST,0,3,35,1,1,0,40,11,51
District,Gandaki Province,Syangja,SYANGJA,2,3,64,10,6,0,85,4,89
District,Gandaki Province,Parbat,PARBAT,1,2,52,0,0,1,56,4,60
District,Gandaki Province,Baglung,BAGLUNG,1,3,58,4,0,1,67,6,73
District,Province 5,Rukum East,RUKUM EAST,0,1,15,0,0,0,16,1,17
District,Province 5,Rolpa,ROLPA,1,2,49,8,9,0,69,5,74
District,Province 5,Pyuthan,PYUTHAN,1,2,46,3,6,0,58,5,63
District,Province 5,Gulmi,GULMI,1,4,76,7,5,0,93,6,99
District,Province 5,Arghakhanchi,ARGHAKHANCHI,1,2,39,1,4,0,47,7,54
District,Province 5,Palpa,PALPA,2,2,62,4,7,1,78,6,84
District,Province 5,Nawalparasi West,NAWALPARASI WEST,2,2,36,4,3,0,47,11,58
District,Province 5,Rupandehi,RUPANDEHI,2,5,64,14,3,2,90,68,158
District,Province 5,Kapilbastu,KAPILBASTU,3,2,73,5,4,1,88,16,104
District,Province 5,Dang,DANG,3,2,36,6,0,0,47,14,61
District,Province 5,Banke,BANKE,3,3,44,7,0,1,58,26,84
District,Province 5,Bardiya,BARDIYA,1,3,30,9,6,1,50,9,59
District,Karnali Province,Dolpa,DOLPA,1,0,23,0,0,0,24,0,24
District,Karnali Province,Mugu,MUGU,1,1,24,0,6,0,32,0,32
District,Karnali Province,Humla,HUMLA,1,0,26,0,0,0,27,1,28
District,Karnali Province,Jumla,JUMLA,1,1,29,1,0,1,33,10,43
District,Karnali Province,Kalikot,KALIKOT,1,1,28,0,0,0,30,0,30
