Governance Units,Provinces,Districts,Mumps Cases,Tuberculosis Cases,Chicken Pox Cases,Whooping Cough Cases,Hepatitis B Cases,Measles Cases,Tetanus Cases,Acute Flaccid Paralysis (AFP) Cases,Rubella Cases,Diptheria Cases,Neonatal Tetanus Cases
District,Province 1,Taplejung,453,46,292,0,8,0,0,0,0,0,0
District,Province 1,Sankhuwasabha,431,86,349,2,22,7,3,0,0,0,0
District,Province 1,Solukhumbu,85,16,144,2,1,0,0,1,1,0,0
District,Province 1,Okhaldhunga,357,49,198,26,0,8,0,0,0,0,0
District,Province 1,Khotang,301,8,330,0,0,0,0,0,0,0,0
District,Province 1,Bhojpur,514,47,249,17,1,5,0,1,14,0,0
District,Province 1,Dhankuta,446,19,186,36,4,20,0,2,0,0,0
District,Province 1,Terhathum,242,29,259,5,52,25,11,7,0,0,0
District,Province 1,Panchthar,487,34,196,14,0,1,0,0,0,0,0
District,Province 1,Ilam,359,112,236,0,2,0,2,0,0,0,0
District,Province 1,Jhapa,1632,787,648,0,11,10,10,1,9,0,0
District,Province 1,Morang,506,1121,271,57,18,7,1,3,0,0,0
District,Province 1,Sunsari,760,448,229,0,0,21,0,6,0,0,1
District,Province 1,Udayapur,644,227,325,479,1,49,16,1,23,137,0
District,Province 2,Saptari,298,165,35,7,0,19,3,6,1,0,0
District,Province 2,Siraha,363,340,67,8,1,4,0,13,0,0,0
District,Province 2,Dhunasa,181,268,83,15,11,5,0,5,10,4,0
District,Province 2,Mohattari,433,764,54,9,0,0,11,5,5,0,0
District,Province 2,Sarlahi,42,167,33,12,0,3,5,31,3,0,0
District,Province 2,Rautahat,57,125,9,19,1,3,0,5,1,0,0
District,Province 2,Bara,514,449,89,94,0,15,7,0,4,0,0
District,Province 2,Parsa,361,330,49,100,1,8,10,11,0,19,1
District,Province 3,Dolakha,658,270,188,177,47,15,0,1,1,0,0
District,Province 3,Sindhupalchok,559,158,260,116,4,32,14,0,5,1,0
District,Province 3,Rasuwa,94,14,22,5,0,4,0,0,3,0,0
District,Province 3,Dhading,492,321,397,20,0,30,3,3,4,0,0
District,Province 3,Nuwakot,280,79,148,0,1,11,0,2,0,0,0
District,Province 3,Kathmandu,837,1468,982,49,1586,26,233,55,37,15,0
District,Province 3,Bhaktapur,270,188,251,0,14,50,0,2,1,0,0
District,Province 3,Lalitpur,437,1133,366,64,264,29,47,1,2,0,0
District,Province 3,Kavrepalanchok,447,433,181,50,10,26,6,3,5,3,0
District,Province 3,Ramechhap,628,124,163,113,0,16,6,1,3,0,0
District,Province 3,Sindhuli,857,192,391,501,0,94,0,0,12,13,0
District,Province 3,Makwanpur,527,420,214,3,1,17,2,6,12,0,0
District,Province 3,Chitwan,1054,1402,1603,1115,378,42,1,32,12,4,0
