Governance Units,Provinces,Districts,Depression,Migraine,Other Anxiety,Epilepsy,Addiction (acoholisim_Dipsomania_Drug),Phobic anxiety,Mental Illness (Mental disorder),Schizophrenia,Bipolar Affective Disorder,Neurosis,Psychosis,Conversive disorder (Hysteria),Dementia,Mental Retardation,Obsessive Compulsive Disorder
District,Province 1,Taplejung,76,70,48,22,100,20,19,1,4,67,14,49,0,2,0
District,Province 1,Sankhuwasabha,84,162,102,36,120,16,17,0,0,2,16,5,43,21,1
District,Province 1,Solukhumbu,36,77,15,41,5,8,0,3,3,10,0,3,2,1,0
District,Province 1,Okhaldhunga,162,64,428,66,28,7,1,54,1,28,1,23,1,3,2
District,Province 1,Khotang,46,22,16,7,0,3,1,0,0,18,4,3,4,0,0
District,Province 1,Bhojpur,19,35,1,36,11,3,4,0,0,3,0,32,1,0,0
District,Province 1,Dhankuta,12,18,46,6,2,4,0,0,0,1,33,1,0,2,0
District,Province 1,Terhathum,44,37,0,5,46,0,9,0,2,4,0,1,2,1,0
District,Province 1,Panchthar,15,15,25,4,9,2,1,0,0,1,1,0,2,0,0
District,Province 1,Ilam,173,74,238,54,2,5,31,20,1,0,14,14,5,0,3
District,Province 1,Jhapa,1017,810,449,83,127,58,37,30,42,134,23,9,95,26,19
District,Province 1,Morang,2970,1944,2011,1546,1145,651,1780,606,240,1915,387,1382,629,1190,237
District,Province 1,Sunsari,252,295,12,57,11,4,0,0,26,11,0,5,1,3,0
District,Province 1,Udayapur,607,581,291,78,220,106,149,45,30,15,45,342,29,127,25
District,Province 2,Saptari,183,80,30,8,9,0,0,4,0,0,0,0,14,2,0
District,Province 2,Siraha,105,171,51,27,21,30,13,0,6,28,0,2,8,26,9
District,Province 2,Dhunasa,161,127,17,22,20,9,57,2,10,72,0,12,22,48,0
District,Province 2,Mohattari,147,140,33,25,14,35,11,0,3,57,11,17,9,13,6
District,Province 2,Sarlahi,44,18,40,0,3,0,1,0,0,0,0,0,0,0,0
