Governance Units,Provinces,Districts,Falls/Injuries/Fractures,Backache(Muskuloskeletal Pain),Arthritis-Osteo Arthrosis,RTA,Osteo Arthrosis,Rheumatoid Arthritis
District,Province 1,Taplejung,5386,1187,464,374,65,93
District,Province 1,Sankhuwasabha,7530,2366,2095,387,172,119
District,Province 1,Solukhumbu,4157,1516,1197,29,250,75
District,Province 1,Okhaldhunga,8841,2779,1511,73,200,39
District,Province 1,Khotang,6630,2274,1337,72,57,47
District,Province 1,Bhojpur,5649,1535,1740,169,81,49
District,Province 1,Dhankuta,6776,1714,1174,169,107,99
District,Province 1,Terhathum,4332,1337,950,31,129,89
District,Province 1,Panchthar,6805,1306,1106,138,40,71
District,Province 1,Ilam,6493,3726,1393,143,338,154
District,Province 1,Jhapa,11530,10232,3453,2039,1068,1005
District,Province 1,Morang,21782,19156,13069,11875,7815,7625
District,Province 1,Sunsari,6516,7229,4857,879,498,328
District,Province 1,Udayapur,6453,2399,1610,992,105,188
District,Province 2,Saptari,13079,6256,8254,669,91,189
District,Province 2,Siraha,8522,8937,5716,1567,395,419
District,Province 2,Dhunasa,6188,6507,3824,356,153,300
District,Province 2,Mohattari,5100,5321,4122,750,171,261
District,Province 2,Sarlahi,2623,2786,1912,51,57,66
District,Province 2,Rautahat,3214,3102,2817,712,154,372
District,Province 2,Bara,11005,9280,4705,902,181,175
District,Province 2,Parsa,9287,7349,3847,1544,351,449
District,Province 3,Dolakha,13082,4716,2342,1353,664,346
District,Province 3,Sindhupalchok,23313,9952,4467,695,212,247
District,Province 3,Rasuwa,3404,2290,785,22,75,35
District,Province 3,Dhading,16491,6823,4348,1502,578,257
District,Province 3,Nuwakot,9105,5074,2109,237,300,162
District,Province 3,Kathmandu,62998,35934,24636,15054,10165,6412
District,Province 3,Bhaktapur,8867,7472,4293,2899,2470,142
District,Province 3,Lalitpur,14004,9324,5780,4202,1069,1092
District,Province 3,Kavrepalanchok,32863,23365,10139,2629,805,669
District,Province 3,Ramechhap,13187,4559,3110,273,583,125
District,Province 3,Sindhuli,6473,3364,1458,636,148,204
District,Province 3,Makwanpur,8425,3653,1487,257,253,57
District,Province 3,Chitwan,27578,22983,7839,12478,3085,4683
District,Gandaki Province,Gorkha,18659,10270,5759,374,1483,463
District,Gandaki Province,Manang,621,506,196,10,8,5
District,Gandaki Province,Mustang,1644,791,320,32,5,11
District,Gandaki Province,Myagdi,7511,1911,1656,162,249,94
District,Gandaki Province,Kaski,27804,14372,6632,8238,2570,3379
District,Gandaki Province,Lamjung,12521,5264,2843,766,272,729
District,Gandaki Province,Tanahu,9156,4161,2523,236,103,185
District,Gandaki Province,Nawalparasi East,8384,2584,1937,1065,96,149
District,Gandaki Province,Syangja,15475,4856,2978,737,211,299
District,Gandaki Province,Parbat,10600,3162,2219,225,386,219
District,Gandaki Province,Baglung,13049,4297,3154,299,225,251
District,Province 5,Rukum East,1244,466,165,16,27,9
District,Province 5,Rolpa,8967,3292,1476,269,312,85
District,Province 5,Pyuthan,14256,3810,3406,517,220,171
District,Province 5,Gulmi,8127,3281,4677,239,266,157
District,Province 5,Arghakhanchi,6729,2877,4153,292,398,166
District,Province 5,Palpa,20440,9715,6397,2519,2086,1661
District,Province 5,Nawalparasi West,5393,10970,3156,725,100,212
District,Province 5,Rupandehi,19743,29432,12790,4933,5551,2609
District,Province 5,Kapilbastu,9066,14983,5194,1145,343,530
District,Province 5,Dang,12197,7313,4932,831,92,213
District,Province 5,Banke,15091,8795,4654,1897,590,465
District,Province 5,Bardiya,9105,8883,4801,536,240,20
District,Karnali Province,Dolpa,485,663,313,6,92,32
District,Karnali Province,Mugu,955,622,750,40,9,84
District,Karnali Province,Humla,624,630,653,3,19,69
District,Karnali Province,Jumla,7578,2021,1553,359,637,453
District,Karnali Province,Kalikot,3184,1959,896,216,25,86
District,Karnali Province,Dailekh,9267,3744,1711,128,47,22
District,Karnali Province,Jajarkot,3266,2117,477,60,68,66
District,Karnali Province,Rukum West,5381,2391,856,315,124,223
District,Karnali Province,Salyan,5990,4705,1660,113,389,63
District,Karnali Province,Surkhet,14422,6837,2924,352,731,262
District,Sudurpashchim Province,Bajura,5459,3230,1288,42,11,22
District,Sudurpashchim Province,Bajhang,6899,3144,1642,96,100,102
District,Sudurpashchim Province,Darchula,5827,2902,1281,6,37,15
District,Sudurpashchim Province,Baitadi,9717,2526,1426,29,73,21
District,Sudurpashchim Province,Dadeldhura,6798,3434,2258,200,328,936
District,Sudurpashchim Province,Doti,11275,3910,1631,393,128,77
District,Sudurpashchim Province,Achham,15743,6733,1587,210,576,185
District,Sudurpashchim Province,Kailali,15074,13965,5058,4232,1246,1302
District,Sudurpashchim Province,Kanchanpur,10209,6248,3486,1169,532,850
