Governance Units,Provinces,Districts,Scabies Cases,Fungal Infection (Lichen Planus) Cases,Dermatitis/Eczema Cases,Abscess Cases,Boils Cases,Impetigo Cases,Urticaria Cases,Urticaria Cases,Furunculosis Cases,Chloasma/Melasma Cases,Warts Cases,Psoriasis Cases,Acute Lymphadenitis Cases,Vitiligo Cases,Herpes Zoster Cases,Alopecia Cases,Leukoderma Cases,Erythroderma Cases,Herpes Simplex Cases,Albinism Cases
District,Province 1,Taplejung,4430,2230,1691,1970,1160,844,434,434,127,27,59,17,79,17,89,17,85,98,23,1
District,Province 1,Sankhuwasabha,2998,1744,1832,1695,1562,1468,473,473,68,41,36,15,213,24,92,37,39,21,12,7
District,Province 1,Solukhumbu,1073,930,1989,800,580,595,285,285,120,11,28,63,63,30,99,3,20,22,21,5
District,Province 1,Okhaldhunga,3196,2358,2689,2221,1542,1813,604,604,139,43,68,37,177,12,77,10,10,58,35,0
District,Province 1,Khotang,5381,2071,3442,2950,1821,1413,649,649,320,19,59,16,150,39,112,61,77,29,90,0
District,Province 1,Bhojpur,5199,1838,2971,3367,2596,1055,633,633,183,33,35,59,317,24,72,32,7,51,19,0
District,Province 1,Dhankuta,3362,1718,2707,1564,1022,617,417,417,171,27,47,8,93,40,50,14,24,22,36,23
District,Province 1,Terhathum,2453,1944,2274,1578,361,1079,535,535,581,35,101,8,138,42,104,29,63,40,48,0
District,Province 1,Panchthar,5077,1893,2696,1412,1236,1484,440,440,141,0,22,19,70,322,61,0,110,20,12,0
District,Province 1,Ilam,6579,3667,2916,1818,1029,589,949,949,269,63,32,23,240,10,163,21,45,51,72,2
District,Province 1,Jhapa,16951,12438,8612,7465,5711,3197,2502,2502,2208,147,918,346,1226,346,703,110,480,904,525,47
District,Province 1,Morang,20042,16604,12787,9322,9147,7874,3511,3511,1355,1078,678,2441,2273,2748,668,258,1004,3489,443,927
District,Province 1,Sunsari,15434,13348,6031,5782,3751,5328,1287,1287,1457,15,318,46,348,80,72,12,271,96,23,2
District,Province 1,Udayapur,8392,4533,3820,4275,3383,2298,1279,1279,927,135,196,223,471,66,210,126,693,38,33,3
District,Province 2,Saptari,19100,7072,5424,10939,7609,4655,1317,1317,1706,34,87,73,331,294,104,61,129,57,128,18
District,Province 2,Siraha,19325,7396,5016,11032,7731,4116,1536,1536,1432,95,95,73,105,41,90,89,518,68,57,3
District,Province 2,Dhunasa,22793,23922,20980,8977,7048,3890,2298,2298,1816,193,44,426,91,894,128,189,704,32,116,5
District,Province 2,Mohattari,16826,9726,4774,10706,8051,6224,838,838,892,35,48,31,101,33,155,42,279,88,151,6
District,Province 2,Sarlahi,6058,2822,2676,5155,2679,2990,747,747,672,21,23,69,141,3,18,29,194,105,8,0
District,Province 2,Rautahat,14528,5771,2694,8754,8969,4337,707,707,895,54,86,44,129,6,60,33,507,13,54,0
District,Province 2,Bara,19647,10770,5907,12443,12270,7063,1695,1695,1299,28,39,94,267,35,56,53,257,75,44,19
District,Province 2,Parsa,20294,8171,6241,11537,8491,9378,1336,1336,824,57,145,24,139,93,64,59,147,152,59,2
District,Province 3,Dolakha,2391,2922,3569,2628,1869,1516,1380,1380,118,73,81,126,157,19,189,119,31,86,57,4
District,Province 3,Sindhupalchok,3619,3458,6652,4018,2372,1542,1568,1568,331,79,34,48,152,163,218,94,52,153,60,0
District,Province 3,Rasuwa,1158,843,1160,1005,684,203,439,439,23,2,3,50,14,4,24,2,5,9,4,0
District,Province 3,Dhading,4681,4369,4417,6396,3985,2217,1511,1511,414,14,68,134,586,83,184,19,384,136,91,4
District,Province 3,Nuwakot,3636,3966,3137,3504,2662,1371,1325,1325,489,87,19,180,235,25,112,100,135,105,38,9
District,Province 3,Kathmandu,8977,17001,17129,10279,6291,4010,9008,9008,3887,11921,7140,6278,1254,3996,2907,5097,2969,2292,2900,1503
District,Province 3,Bhaktapur,1288,3172,2351,2059,2547,654,1088,1088,195,30,227,25,227,55,125,11,50,10,108,0
District,Province 3,Lalitpur,3212,3834,6048,3721,2694,2646,1995,1995,545,1572,2189,840,186,841,165,1493,126,110,1055,1573
District,Province 3,Kavrepalanchok,3499,5706,8058,5373,3533,2328,2255,2255,1125,2586,2736,2189,172,2360,1510,1913,110,203,330,43
District,Province 3,Ramechhap,3180,3665,4056,3026,2560,1561,1087,1087,330,31,12,68,412,55,100,6,52,44,46,0
District,Province 3,Sindhuli,5302,3402,2420,3583,3132,1018,1040,1040,572,34,124,71,212,26,239,103,40,39,57,8
District,Province 3,Makwanpur,2812,5745,2553,2868,2164,2569,985,985,320,19,27,31,106,26,64,139,29,18,30,3
District,Province 3,Chitwan,10429,24412,19060,8187,6813,7344,6000,6000,2295,1575,1711,873,598,680,1316,1093,293,495,992,188
District,Gandaki Province,Gorkha,4817,5243,6329,5073,2864,2506,1464,1464,888,54,35,139,338,96,272,206,122,174,22,2
District,Gandaki Province,Manang,189,301,199,110,41,8,55,55,3,0,0,0,2,0,1,7,0,0,8,2
District,Gandaki Province,Mustang,280,325,566,153,188,121,120,120,28,0,16,0,5,0,11,4,1,0,9,0
District,Gandaki Province,Myagdi,2320,1176,2793,1740,817,976,1470,1470,113,212,49,191,192,66,95,9,41,42,34,0
District,Gandaki Province,Kaski,5025,10254,8537,3490,2172,1473,4056,4056,991,4058,1678,1358,1197,1009,926,1480,941,579,1046,297
District,Gandaki Province,Lamjung,3095,4230,4359,2969,2802,1908,2243,2243,220,4,999,28,960,15,118,72,84,58,33,1
District,Gandaki Province,Tanahu,3522,3775,3772,2380,1559,742,796,796,189,40,109,59,79,20,102,25,87,10,32,1
District,Gandaki Province,Nawalparasi East,3903,5488,3876,2458,1931,2606,1347,1347,756,25,19,17,63,42,135,1,52,53,67,6
District,Gandaki Province,Syangja,3219,3140,3263,1992,1297,1206,624,624,159,168,52,19,72,86,113,52,146,23,65,25
District,Gandaki Province,Parbat,2536,2479,2763,1871,1112,1027,934,934,215,32,111,67,165,18,76,19,8,2,20,0
District,Gandaki Province,Baglung,4236,3392,4848,2388,1511,751,1868,1868,207,84,67,17,268,33,159,27,67,102,50,0
District,Province 5,Rukum East,553,399,321,682,158,95,64,64,10,5,0,9,2,9,3,3,8,6,0,0
District,Province 5,Rolpa,3443,2370,2224,2201,2243,481,485,485,164,35,52,48,204,14,72,18,26,6,59,0
District,Province 5,Pyuthan,6191,3897,4205,3530,2643,3083,1143,1143,202,2,121,143,414,81,215,90,31,89,23,0
District,Province 5,Gulmi,3238,2232,2437,1585,1042,1093,870,870,370,23,26,42,135,13,110,84,276,37,24,1
District,Province 5,Arghakhanchi,3777,1440,2518,1729,1677,1016,832,832,266,44,127,93,233,135,162,48,33,10,88,7
District,Province 5,Palpa,4932,4362,5729,5039,3597,2370,1589,1589,414,514,1789,484,718,351,476,306,163,190,361,252
District,Province 5,Nawalparasi West,8438,6952,4267,2881,4197,1269,904,904,689,7,29,42,169,106,100,56,125,107,53,7
District,Province 5,Rupandehi,19581,36040,20239,7875,10017,8405,4902,4902,3784,2863,362,1908,627,3254,315,1032,419,380,270,271
District,Province 5,Kapilbastu,21625,13304,7588,8569,10706,4268,2363,2363,1516,36,164,177,203,60,117,185,287,238,33,0
District,Province 5,Dang,8585,10989,8205,5135,7654,4337,2999,2999,732,198,44,65,314,47,144,33,181,138,121,7
District,Province 5,Banke,15355,14105,6462,5716,8215,3245,981,981,995,51,20,4,50,45,168,159,182,171,12,0
District,Province 5,Bardiya,11972,11401,5357,4528,7720,4453,1309,1309,697,32,110,467,471,182,238,38,112,23,65,0
District,Karnali Province,Dolpa,2907,408,339,540,493,27,4,4,40,4,5,0,0,0,0,3,67,0,0,0
District,Karnali Province,Mugu,1191,854,711,691,560,354,177,177,157,71,55,60,96,55,108,1,94,63,81,26
District,Karnali Province,Humla,2280,988,455,1096,1307,505,188,188,309,43,145,64,47,22,78,7,148,138,39,0
District,Karnali Province,Jumla,2795,990,1549,1201,880,463,338,338,137,56,86,96,17,21,21,29,27,20,29,3
District,Karnali Province,Kalikot,3013,1019,778,1228,774,324,212,212,106,30,62,40,59,3,41,16,23,23,20,0
District,Karnali Province,Dailekh,4851,2681,1882,2869,2514,917,522,522,499,1,68,21,62,25,133,49,247,13,30,22
District,Karnali Province,Jajarkot,2566,1532,1174,1619,1061,222,788,788,146,46,5,22,65,6,27,46,44,5,25,6
District,Karnali Province,Rukum West,1696,1940,1702,1628,1754,490,686,686,221,14,280,46,134,74,32,12,37,4,3,0
District,Karnali Province,Salyan,3819,2251,3495,2502,2840,1088,1001,1001,252,34,27,30,148,18,28,11,121,172,29,8
District,Karnali Province,Surkhet,8646,7174,6233,4396,5755,2062,1406,1406,781,35,98,55,243,206,108,35,198,82,38,5
District,Sudurpashchim Province,Bajura,3569,2529,1441,2281,1781,933,318,318,274,3,18,24,35,16,69,10,26,65,17,8
District,Sudurpashchim Province,Bajhang,3678,1988,1744,2158,2401,752,614,614,138,60,17,29,184,15,54,34,191,15,23,0
District,Sudurpashchim Province,Darchula,3152,1687,2190,1466,1534,601,599,599,169,25,75,102,32,44,100,41,40,5,7,0
District,Sudurpashchim Province,Baitadi,4757,2438,2854,1569,3288,595,415,415,91,2,29,191,64,12,59,37,43,11,5,0
District,Sudurpashchim Province,Dadeldhura,4116,2672,2828,1609,2247,975,844,844,515,14,11,89,138,35,150,37,67,34,32,0
District,Sudurpashchim Province,Doti,5343,3307,2712,1982,2329,1025,820,820,346,36,91,81,223,65,175,42,86,66,45,7
District,Sudurpashchim Province,Achham,6855,5656,3292,3970,3428,1380,1274,1274,573,194,91,240,252,164,125,104,103,62,50,4
District,Sudurpashchim Province,Kailali,14999,15767,12294,3617,8952,5511,1546,1546,592,639,72,72,255,268,357,106,237,115,136,26
District,Sudurpashchim Province,Kanchanpur,8098,6487,7704,2595,4901,5586,1280,1280,220,11,52,20,196,301,139,152,133,22,24,32
