Governance Units,Provinces,Districts,Presumed Non-Infectious Diarrhoea Cases,Typhoid (Enteric Fever) Cases,Intestinal Worms Cases,Acute Gastro-Enteritis (AGE) Cases,Ameobic Dysentery/Amoebiasis Cases,Bacillary Dysentery/Shigellosis Cases,Volume Depletion (Dehydration) Cases,Jaundice Cases,Cholera Cases,Leprosy Cases,Hepatitis A Cases,Meningitis Cases,Hepatitis E Cases,Bacterial Intestinal Infection Cases
District,Province 1,Taplejung,2332,1983,3015,2182,1379,380,198,128,43,0,69,0,14,0
District,Province 1,Sankhuwasabha,3276,4123,3097,2033,1142,361,158,403,153,2,5,7,1,0
District,Province 1,Solukhumbu,2156,1028,1303,1325,775,352,114,51,1,0,2,3,0,0
District,Province 1,Okhaldhunga,4756,2601,2938,1385,1734,624,243,53,57,1,0,0,0,0
District,Province 1,Khotang,3478,3084,3256,4084,3251,1180,262,231,99,2,7,4,6,0
District,Province 1,Bhojpur,3897,3944,2329,2460,2061,743,351,139,20,2,10,0,0,0
District,Province 1,Dhankuta,3094,2311,1550,1588,1112,470,161,221,40,0,0,0,4,0
District,Province 1,Terhathum,1776,2557,1532,1057,1003,297,117,131,29,4,0,1,0,0
District,Province 1,Panchthar,3012,1557,1359,899,1082,241,172,104,0,0,0,0,0,0
District,Province 1,Ilam,2449,2151,3197,2169,1474,191,442,347,52,0,2,0,11,0
District,Province 1,Jhapa,6813,14301,18123,10010,9069,3738,1587,1748,1,261,217,3,0,0
District,Province 1,Morang,10476,24742,12961,20462,10295,5141,3841,4133,28,87,77,452,28,0
District,Province 1,Sunsari,11401,3720,12915,4535,6574,2396,568,701,115,29,272,1,2,0
District,Province 1,Udayapur,4776,5724,5810,4902,3851,1785,573,417,618,13,10,0,0,0
District,Province 2,Saptari,27421,5514,28920,7028,11195,3406,1328,134,171,80,0,0,20,0
District,Province 2,Siraha,18975,10318,22104,7669,8644,3439,1756,607,342,45,34,11,0,0
District,Province 2,Dhunasa,15052,14813,29835,8235,11388,3285,562,421,870,3925,151,1,17,0
District,Province 2,Mohattari,14384,15005,30876,7760,9999,3964,398,434,943,165,26,0,1,0
District,Province 2,Sarlahi,6997,3533,12319,3894,4391,1839,244,117,371,22,0,0,0,0
District,Province 2,Rautahat,18039,7824,22978,5351,9765,4500,859,75,373,63,10,0,32,0
District,Province 2,Bara,19438,7121,20824,8954,12891,4917,390,451,221,107,0,0,1,0
District,Province 2,Parsa,11113,4940,16429,6270,8907,3614,656,264,614,79,33,90,25,0
District,Province 3,Dolakha,7371,5028,2941,4321,2774,954,202,620,32,0,119,3,37,0
District,Province 3,Sindhupalchok,9425,3987,3939,5183,3287,1472,501,230,56,0,5,0,1,0
District,Province 3,Rasuwa,2783,489,476,835,501,351,59,22,24,0,0,0,0,0
District,Province 3,Dhading,7757,7946,2410,4677,4157,1246,433,711,58,1,5,1,3,0
District,Province 3,Nuwakot,5196,4184,3904,3022,4105,1269,679,343,145,2,11,3,1,0
