Governance Units,Provinces,Districts,Name of Government Unit,Hospital,Primary Health Care Centers ,Health Post,Urban Health Centers,Community Health Unit,Other Health Facilities,Total ,Non-public health facilities ,Total health facilities (Public and Non-Public) 
Rural Municipality,Province 1,Taplejung,Phaktanlung Rural Municipality,0,0,7,0,2,0,9,0,9
Rural Municipality,Province 1,Taplejung,Mikwakhola Rural Municipality,0,0,4,0,1,0,5,0,5
Rural Municipality,Province 1,Taplejung,Meringden Rural Municipality,0,0,6,0,1,0,7,0,7
Rural Municipality,Province 1,Taplejung,Maiwakhola Rural Municipality,0,1,2,0,3,0,6,0,6
Rural Municipality,Province 1,Taplejung,Aatharai Tribeni Rural Municipality,0,0,7,0,0,0,7,0,7
Municipality ,Province 1,Taplejung,Phungling Municipality,1,0,4,2,3,0,10,5,15
Rural Municipality,Province 1,Taplejung,Yangwarak Rural Municipality,0,0,6,0,0,0,6,0,6
Rural Municipality,Province 1,Taplejung,Sirijanga Rural Municipality,0,1,7,0,1,0,9,0,9
Rural Municipality,Province 1,Taplejung,Sidingba Rural Municipality,0,0,7,0,0,0,7,0,7
Rural Municipality,Province 1,Sankhuwasabha,Bhotkhola Rural Municipality,0,0,3,0,2,0,5,0,5
Rural Municipality,Province 1,Sankhuwasabha,Makalu Rural Municipality,0,0,5,0,3,0,8,0,8
Rural Municipality,Province 1,Sankhuwasabha,Silichong Rural Municipality,0,1,3,0,0,0,4,1,5
Rural Municipality,Province 1,Sankhuwasabha,Chichila Rural Municipality,0,0,2,0,0,0,2,0,2
Rural Municipality,Province 1,Sankhuwasabha,Sabhapokhari Rural Municipality,0,0,3,0,0,0,3,0,3
Municipality ,Province 1,Sankhuwasabha,Khandabari Municipality,1,0,5,2,0,0,8,7,15
Municipality ,Province 1,Sankhuwasabha,Panchakhapan Municipality,0,0,4,0,1,0,5,0,5
Municipality ,Province 1,Sankhuwasabha,Chainapur Municipality,0,1,5,1,2,0,9,0,9
Municipality ,Province 1,Sankhuwasabha,Madi Municipality,0,0,3,1,0,0,4,0,4
Municipality ,Province 1,Sankhuwasabha,Dharmadevi Municipality,0,0,3,4,0,0,7,0,7
Rural Municipality,Province 1,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,0,0,4,0,0,0,4,2,6
Rural Municipality,Province 1,Solukhumbu,Mahakulung Rural Municipality,0,0,3,0,0,0,3,0,3
Rural Municipality,Province 1,Solukhumbu,Sotang Rural Municipality,0,1,1,0,1,0,3,0,3
Rural Municipality,Province 1,Solukhumbu,Dhudhakoshi Rural Municipality,0,0,3,0,0,0,3,0,3
Rural Municipality,Province 1,Solukhumbu,Dhudha Koushika Rural Municipality,0,0,6,0,0,0,6,0,6
Rural Municipality,Province 1,Solukhumbu,Necha Salyan Rural Municipality,0,1,3,0,0,0,4,1,5
Municipality ,Province 1,Solukhumbu,Solu Dhudhakunda Municipality,1,0,9,0,0,1,11,0,11
Rural Municipality,Province 1,Solukhumbu,Likhu Pike Rural Municipality,0,0,3,0,1,0,4,0,4
Rural Municipality,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,0,0,7,0,0,0,7,0,7
Municipality ,Province 1,Okhaldhunga,Siddhicharan Municipality,1,0,10,0,0,0,11,2,13
Rural Municipality,Province 1,Okhaldhunga,Molung Rural Municipality,0,0,7,0,0,0,7,1,8
Rural Municipality,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,0,0,6,0,0,0,6,0,6
Rural Municipality,Province 1,Okhaldhunga,Likhu Rural Municipality,0,0,6,0,0,0,6,0,6
Rural Municipality,Province 1,Okhaldhunga,Champadevi Rural Municipality,0,1,5,0,0,0,6,0,6
Rural Municipality,Province 1,Okhaldhunga,Sunkoshi Rural Municipality,0,0,5,0,0,0,5,0,5
Rural Municipality,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,0,0,8,0,0,0,8,0,8
Rural Municipality,Province 1,Khotang,Kepilasgadhi Rural Municipality,0,0,7,0,0,0,7,0,7
Rural Municipality,Province 1,Khotang,Aiselukharka Rural Municipality,0,1,6,0,0,0,7,0,7
Rural Municipality,Province 1,Khotang,Lamidanda Rural Municipality,0,0,6,0,0,0,6,0,6
Municipality ,Province 1,Khotang,Halesi Tuwachung Municipality,0,0,11,1,1,0,13,0,13
Municipality ,Province 1,Khotang,Rupakot Majhuwagadhi Municipality,1,0,12,3,0,0,16,2,18
Rural Municipality,Province 1,Khotang,Sakela Rural Municipality,0,0,4,0,0,0,4,0,4
Rural Municipality,Province 1,Khotang,Diprung Rural Municipality,0,0,7,0,0,0,7,0,7
Rural Municipality,Province 1,Khotang,Khotehang Rural Municipality,0,0,9,0,0,0,9,0,9
Rural Municipality,Province 1,Khotang,Jante Dhunga Rural Municipality,0,1,5,0,0,0,6,0,6
Rural Municipality,Province 1,Khotang,Baraha Pokhari Rural Municipality,0,0,6,0,2,0,8,0,8
Municipality ,Province 1,Bhojpur,Shadananda Municipality,0,1,9,1,0,0,11,0,11
Rural Municipality,Province 1,Bhojpur,Salpa Silichho Rural Municipality,0,0,4,0,1,0,5,0,5
Rural Municipality,Province 1,Bhojpur,Tyamke Maiyum Rural Municipality,0,0,9,0,0,0,9,0,9
Municipality ,Province 1,Bhojpur,Bhojpur Municipality,1,0,7,1,0,1,10,5,15
Rural Municipality,Province 1,Bhojpur,Arun Rural Municipality,0,1,5,0,1,0,7,0,7
Rural Municipality,Province 1,Bhojpur,Pauwa Dunma Rural Municipality,0,0,6,0,0,0,6,0,6
Rural Municipality,Province 1,Bhojpur,Ramprasad Rai Rural Municipality,0,0,7,0,0,0,7,0,7
Rural Municipality,Province 1,Bhojpur,Hatuwagadhi Rural Municipality,0,1,5,0,0,0,6,0,6
Rural Municipality,Province 1,Bhojpur,Aamchowk Rural Municipality,0,0,8,0,0,0,8,0,8
Municipality ,Province 1,Dhankuta,Mahalaxmi Municipality,0,1,5,0,0,0,6,0,6
Municipality ,Province 1,Dhankuta,Pakhribas Municipality,0,0,6,1,0,0,7,0,7
Rural Municipality,Province 1,Dhankuta,Chhathar Jorpati Rural Municipality,0,0,4,0,0,0,4,0,4
Municipality ,Province 1,Dhankuta,Dhankuta Municipality,1,0,2,2,1,1,7,9,16
Rural Municipality,Province 1,Dhankuta,Khalsa Chhintang Sahidbhumi Rural Municipality,0,0,4,0,2,0,6,0,6
Rural Municipality,Province 1,Dhankuta,Sangurigadhi Rural Municipality,0,1,7,0,0,0,8,0,8
Rural Municipality,Province 1,Dhankuta,Chaubise Rural Municipality,0,0,7,0,3,0,10,0,10
Rural Municipality,Province 1,Terhathum,Aatharai Rural Municipality,0,1,6,0,0,0,7,0,7
